vendor_id,vendor_name,city,state,logo_filename,notes
112,B and J Auto Salvage,Leesburg,IN,,
113,B&B Enterprises,Springfield,MA,,
18,B.C. Automotive Inc.,Zion,IL,,
309,"BW Auto Dismantling, Inc.",Roseville,CA,,
114,Baron's Auto Wrecking Inc.,Morganville,NJ,,
7,Bay Auto Parts Inc.,Green Bay,WI,,
78,Bears Auto Recycling,Harrison Valley,PA,,
326,Beyer Auto Salvage & Sales Inc.,Trenton,FL,,
115,"Big Apple Auto, Inc.",Brooklyn,NY,,
39,"Bill's Auto Parts, Inc.",Cumberland,RI,,
343,Bill's Used Parts Inc.,Christiansburg,VA,,
116,"Billy's Toyota / Lexus Parts, Inc.",Calera,AL,,
117,"Biloxi Auto Recycling, Inc.",Biloxi,MS,,
118,Black Diamond Auto Wrecking,Black Diamond,WA,,
119,Blue Motors Honda & Acura,Sun Valley,CA,,
120,Bob's Auto Wrecking,Milan,OH,,
121,Bob's Fords,Portland,OR,,
122,Bollman's Auto Salvage,Saxton,PA,,
327,Boston Auto Wreckers,York,ON,,
123,Brad's Corvettes,Fort Lauderdale,FL,,
328,Brandon Auto Salvage,Valrico,FL,,
124,"Broadway Truck & Auto, Inc.",Valley Center,KS,,
125,Brown's Auto Salvage,Bomoseen,VT,,
126,Bryant's Auto Parts & Recycling,Westville,IL,,
127,Bryant's Auto Recyclers,Pensacola,FL,,
313,Budget Auto Salvage,Decatur,GA,,
128,Budget Imports,Sheridan,CO,,
386,Budget Used Auto Parts & Recycling,Tulsa,OK,,
129,Burnet Auto Salvage,Burnet,TX,,
130,Butler Used Auto Parts,Forest City,NC,,
2,C & H Auto Salvage,Ridgely,TN,,
131,C & S Corvettes,Sarasota,FL,,
132,Campbell Nelson Auto Recycling,Arlington,WA,,
133,Capitol Auto Parts,Bangor,PA,,
134,Car World,Candia,NH,,
303,Car-Smart,Pecan Gap,TX,,
135,Carol's Automotive & Corvette Dismantler,Santa Clara,CA,,
8,Carthage Auto Parts Co.,Cincinnati,OH,,
79,Carz R Us,Armington,IL,,
136,Central City Auto Parts,Columbus,OH,,
137,Champion Auto and Truck Recyclers,Glendale,AZ,,
138,Chaparral Auto Parts Inc.,Frisco,TX,,
139,Chapman Enterprises Inc.,Knoxville,TN,,
140,Charlie's Auto Parts,Orange,MA,,
369,Chris Auto Salvage,Waxahachie,TX,,
9,Chuck & Eddie's Quality Used Auto Parts,Southington,CT,,
19,City Auto Wreckers,Aurora,IL,,
141,Clark's Used Parts & Salvage,Laurinburg,NC,,
4,Classic Auto Salvage,Melbourne,FL,,
20,Classy Car Parts,New Braunfels,TX,,
353,"Cocoa Auto Salvage, Inc.",Cocoa,FL,,
142,Columbus Auto Recycling,Columbus,OH,,
40,Complete Auto & Truck Parts,Flint,MI,,
143,Condon's Auto Parts,Westminster,MD,,
21,Cosmo's Ocean County Auto Parts,Bayville,NJ,,
41,Costa Mesa Auto Dismantlers,Costa Mesa,CA,,
144,Country Auto Salvage,Aurora,UT,,
145,Coventry West,Lithonia,GA,,
22,"Covey's Auto Parts, Inc.",Marysville,WA,,
316,Crowley Cars & Salvage,Beloit,KS,,
146,"Crushers Auto Recycling, LLC",Francesville,IN,,
80,D & D Truck Parts,Bellport,NY,,
387,D & J Auto Parts,Richmond,IN,,
147,D.C. Bumper Company,Dallas,TX,,
149,DC Automotive,Rocky Mount,NC,,
23,DFW Used Auto Parts,Fort Worth,TX,,
153,DNG Auto,Deland,FL,,
329,Danny's Auto Parts & Salvage,Tulsa,OK,,
148,Dave's Auto Recycling,West Bend,WI,,
354,Davis Salvage Co.,Corbin,KY,,
388,DeNaples Auto Parts,Dunmore,PA,,
150,Delk Performance Parts,Lebanon,TN,,
151,Denver Used Pickup Parts East,Aurora,CO,,
152,Direct Auto Parts,Montreal,QC,,
81,Direct Automotive Products,Rancho Cordova,CA,,
154,Double T Automotive,Woodbridge,VA,,
82,Downtown Auto Parts,Fredericksburg,VA,,
155,Dynamic Corvettes,Saginaw,MI,,
156,E & B Auto Parts Inc.,Blue Island,IL,,
157,E.T. Cote & Son Auto Exchange Inc.,Leominster,MA,,
344,Eagle Auto Parts,Cleveland,OH,,
355,East Coast Auto Salvage Inc.,Higganum,CT,,
389,East Park Auto Recycling Inc.,Hyde Park,NY,,
158,Eaton Auto Parts & Salvage,Cleveland,OH,,
159,Economy Auto Salvage,Winona,MN,,
42,Elite Auto Parts,Lindenhurst,NY,,
330,Elite Foreign Auto Parts,Sun Valley,CA,,
83,Elston Auto Repair & Salvage,Lafayette,IN,,
390,Engine & Transmission World,Cudahy,WI,,
160,"Euroasian Auto, Inc.",Wichita,KS,,
161,"European Automotive Group, LLC",Moultrie,GA,,
162,Evans Automotive,Newport,TN,,
331,"Extreme Automotive, LLC.",Mancelona,MI,,
84,Fann's Auto Parts,Manchester,TN,,
163,"Fergus Auto Recyclers, Inc.",Fergus,ON,,
164,Fifth Street Auto Salvage,Oxnard,CA,,
165,Ford & Sons Salvage,Westtown,NY,,
166,Ford Auto Recycling,Rancho Cordova,CA,,
167,"Foreign Engines, Inc.",Lynnwood,WA,,
168,Forty Three Auto,Joplin,MO,,
169,"Freeman's Auto Salvage Center, Inc.",Joplin,MO,,
170,French Lake Auto Parts,Annandale,MN,,
310,Fues Auto Salvage,Winter Springs,FL,,
85,G & B Auto Parts,Floyd,VA,,
86,G & N Used Auto Parts,Rocky Mount,NC,,
171,"G & T Metals, LLC",Longview,WA,,
391,G & T-1-800 Used Parts,Chesterfield,MI,,
172,Gardner Foreign Auto Parts,Pompano Beach,FL,,
173,Gates Salvage Yard Inc.,Hardwick,VT,,
174,Geauga Lake Auto Sales,Mantua,OH,,
175,General Auto Parts,Rockford,IL,,
176,Gille Auto,Valley City,ND,,
392,Gold Dust Auto Parts,Pasadena,TX,,
177,Goodnews Auto Parts,Ahoskie,NC,,
10,Gravely Auto Parts,Axton,VA,,
332,Greenleaf Auto Recyclers LLC - Kennedale,Kennedale,TX,,
178,Greenyard Auto Parts,Lakeside,CA,,
372,Gundies Inc.,Bellingham,WA,,
356,H & L Auto Salvage,Phoenix,AZ,,
24,"H.E.M Auto Parts, Inc.",Columbus,OH,,
87,Happy Import Auto Salvage,Indianapolis,IN,,
339,Harbor Auto Used Parts,Lynn,MA,,
179,Harold Huffman Garage,Clinton,IL,,
180,Hayward Auto Salvage,Hayward,WI,,
366,Hazers Auto & Truck Parts Inc.,West Fargo,ND,,
181,Helman Auto Parts,Sidney,OH,,
25,"Heritage Used Car and Truck Parts, LLC",Mobile,AL,,
182,Hickman Motors Inc.,Hickman,KY,,
393,Hidden Valley Auto Parts,Maricopa,AZ,,
183,Highway 54 Salvage,Trenton,TN,,
184,Highway 64 Truck and Auto Salvage,Kirtland,NM,,
185,Hot Rod Farm,Bullhead City,AZ,,
408,"House of Auto Parts, Inc.",River Rouge,MI,,
186,Howard's Auto Parts,Grand Rapids,OH,,
333,"I-80 Auto Parts Co, Inc.",Gary,IN,,
306,Import Parts Only,Sun Valley,CA,,
43,"Interstate Auto & Truck Salvage, LLC",Ravenna,OH,,
312,Izzy's Auto Parts – The Auto Parts Locator,Glencoe,MN,,
187,J & S Anderson's Auto Wrecking,Spanish Fork,UT,,
190,JC's Towing & Salvage,Salisbury,NC,,
367,Jack's Used Auto Parts,North Billerica,MA,,
188,James Island Auto Salvage,Charleston,SC,,
189,Jay's Auto Parts & Sales,Oklahoma City,OK,,
191,"Jean-Guy's Used Cars and Parts, Inc.",Pelham,NH,,
192,Jellison's Auto Parts,Ham Lake,MN,,
88,Jim's Auto Inc.,Westminster,SC,,
193,Jim's Used Toyota Truck Parts,Denver,CO,,
89,Joe's Transmission & Differential Service,Saxonburg,PA,,
357,Joe's Used Auto Parts,New Ringgold,PA,,
194,Joey's Enterprises,Linden,IN,,
90,Johannes Auto Sales Inc.,Jackson,MO,,
91,John Nichols Used Cars & Parts Inc.,Elizabethtown,KY,,
92,Jr's Auto Salvage,Flemingsburg,KY,,
11,Junk Cars for Cash,Falls Church,VA,,
195,"K.E. Rodgers Auto, Inc.",Dover,PA,,
197,KB Cores,Kankakee,IL,,
341,Kar King Auto,Ontario,CA,,
196,Kash Auto Salvage & Wrecking,Cleveland,OH,,
93,Keiffer Auto Recycling,Canton,OH,,
94,Ken's Auto & Salvage,Osceola,PA,,
198,Kilroy's Auto & Truck Dismantling,Wilmington,CA,,
373,King Auto & Truck Wrecking Inc.,Seattle,WA,,
199,King Automotive Salvage Center,Cedar Falls,IA,,
200,Klamath Auto Wreckers,Klamath Falls,OR,,
334,Kosiski Auto Parts,Omaha,NE,,
26,"LGT Automotive, Inc.",Thornhill,ON,,
206,LKQ Birmingham - Ardmore,Ardmore,AL,,
201,"La Victoria Auto Parts, Inc.",Miami,FL,,
202,LaBarron Brothers Repair & Parts,Woodhull,NY,,
95,Lacey Used Auto Parts,Newark,NJ,,
203,Lacey Used Auto Parts Inc.,Lacey Township,NJ,,
204,Lawrence Auto Salvage,Lawrence,MA,,
205,Liberty Auto Parts,Addisleigh Park,NY,,
207,Lowcost Parts,Frankewing,TN,,
208,Lubbock Auto Recyclers,Lubbock,TX,,
358,M-97 Auto Parts,Warren,MI,,
44,Malahat Auto Parts,Victoria,BC,,
394,"McDonough Auto Parts, Inc.",McDonough,GA,,
209,McLaughlin Auto,Pueblo,CO,,
359,Mega Auto Care and Wholesale,Detroit,MI,,
335,Meridian Auto Wrecking,Graham,WA,,
360,Metro Auto Salvage Sales,Ridgewood,NY,,
210,Metropolitan Auto Warehouse,San Bernardino,CA,,
395,Meyers Auto,Aberdeen,SD,,
409,Michaelson Auto Recycling,South River,NJ,,
583,Michaelson Auto Recycling,West Memphis,AR,,
584,Michaelson Auto Recycling,South River,NJ,,
211,Midway Auto Parts,Summit,MS,,
361,Mims East Coast Auto Salvage,Mims,FL,,
212,Missouri Auto LLC,Sikeston,MO,,
396,Mitchell's Used Auto Parts,Conyers,GA,,
213,Modern Capri Parts,Glenmoore,PA,,
214,Moms Auto Parts,Homestead,FL,,
215,Moraine Auto Parts & Service,Moraine,OH,,
216,Morton's Auto Salvage,Jacksonville,NC,,
217,Motor City 2 Auto Wrecking,Bakersfield,CA,,
218,Mustang Store,Louisville,KY,,
71,National Parts LLC,Jacksonville,FL,,
219,Nationwide Auto Parts & Recycler,Toledo,OH,,
45,"Nationwide Auto Recycling, Inc.",Lancaster,MA,,
220,Needles Auto Wrecking,Needles,CA,,
221,Newark Motor & Export Corp.,Newark,NJ,,
370,Nexus Auto Parts Inc.,East Hills,NY,,
222,Night Auto Parts,Edmonton,AB,,
223,"Nik's Auto Parts, Inc.",Neenah,WI,,
224,Nordstroms Automotive,Garretson,SD,,
225,North Smithfield Auto Recycling,North Smithfield,RI,,
226,North-Central Collision & Salvage,Leslie,AR,,
227,Nu-Parts Automotive Products,Tempe,AZ,,
228,Old 33 Salvage,Chouteau,OK,,
229,Overseas Parts Connection,Fort Lauderdale,FL,,
230,"Owen Auto Parts and Towing, Inc.",Maybee,MI,,
231,Pacific Auto Salvage Inc.,American Canyon,CA,,
319,Paradise Auto Parts,Elkton,MD,,
5,Parson's Auto Parts,Columbus,OH,,
362,Perk's Auto Parts and Salvage,Plainwell,MI,,
232,Petry Auto Salvage,Zelienople,PA,,
233,Phoenix Used Auto Parts,Bay Shore,NY,,
397,Pick-n-Pull,Wadsworth,IL,,
234,Pickup Salvage Co.,Bakersfield,CA,,
235,Piper Auto Salvage,Bloomfield,IA,,
